公司名称,职位名称,工作城市,所在省份,学历要求,工作经验,所属行业,职位描述
广东新宝盈科技有限公司,钣金加工销售员,惠州,广东省,本科,经验不限,生产/制造/加工,钣金加工销售员要求1、本科（可放宽至大专），机械制造、材料工程、市场营销等相关专业优先。行业经验2、1年以上制造业（钣金加工、金属制品、机械加工等）销售经验，有成熟客户资源者优先，若无经验但具备技术背景（如熟悉钣金工艺）且销售潜力突出者可培养。3、熟悉钣金材料（不锈钢、冷轧板、铝板等）、加工设备（激光切割机、折弯机等）及行业标准。4、具备市场分析、商务谈判、合同签订及客户维护能力，能独立开发客户。5、抗压能力强，适应高频次出差及制造业客户快节奏需求。6、熟练使用CRM系统、Office办公软件等，能看懂工程图纸者优先。7、性格开朗，女士优先，欢迎应届毕业生来挑战。
科智达精密工业（惠州）有限公司,外贸开发专员,惠州,广东省,本科,经验不限,生产/制造/加工,学历要求：本科（可放宽至大专）岗位职责：1、负责国外及国内外资相关注塑及注塑模具市场的客户开发，获取订单。2、客户来访接待，促进客户尽快下单。3、订单签订后客户订单的跟进，保证订单的及时交付。4、客户关系维护，促进客户的持续下单。5、完成领导安排的其他工作任职要求：1、大专及以上学历，国际经济与贸易、商务英语、英语等相关专业人员优先。2、英语四级以上，能流畅的与客户交流、并能翻译相关商务文件。3、对注塑模具制造及注塑产品行业感兴趣，并愿意致力于此行业深耕发展。4、有类似的实习经验者优先。5、机械类/模具制造类专业符合语言要求者可破格录用。6、能够熟练操作OFFICE等办公软件负责市场：国外及国内外资注塑及注塑模具市场，有出国参展和拜访客户的机会。
勘宝制造（惠州）有限公司,注塑技术员,惠州,广东省,本科,经验不限,橡胶/塑料制品,岗位职责“1：注塑机开机调试，保障生产设备的稳定运行。2、跟踪产能与品质指标，满足品质要求。3、协助解决生产现场的技术问题，提高生产效率何产品合格率。4、参与现场5S的维护执行。任职要求：1、年龄22岁以上，2、动手能力强，善于分析问题，高效作业，具有较强的安排意识。3、有责任心，有良好的职业修养，能够服从安排，有一定管理能力。4、熟悉相关注塑机设备及原材料知识优先。5、能吃苦耐劳，可接受倒班。
广东奥科伟业科技发展有限公司,生产储干,惠州,广东省,本科,经验不限,生产/制造/加工,学历要求：本科（可放宽至大专）岗位职责1.协助生产主管管理车间日常生产工作，确保生产任务按时完成。2.参与生产计划的制定与执行，合理安排生产资源。3.协助监控生产流程，确保产品质量符合标准。4.协助处理生产现场的异常问题，提出改进建议。5.参与员工培训和团队建设，提升生产效率。6.完成上级交办的其他任务。任职要求1.学历：大专及以上学历，专业不限，理工科背景优先。2.能力：具备良好的沟通能力和团队协作精神，责任心强。3.经验：有生产实习或相关工作经验者优先，应届毕业生亦可。4.素质：吃苦耐劳，能够适应生产现场的工作环境。5.其他：服从安排，愿意接受轮班工作。
广东奥科伟业科技发展有限公司,储干,惠州,广东省,本科,经验不限,生产/制造/加工,岗位职责1.协助部门主管完成日常工作，包括流程执行、数据整理与分析等。2.参与部门项目或任务的推进，提供支持并协助解决相关问题。3.学习并掌握部门核心业务知识与技能，快速融入团队。4.协助跨部门沟通与协调，确保信息传递准确、及时。5.完成上级交办的其他临时任务。任职要求1.学历：本科及以上学历，专业与应聘部门相关优先（如人事、财务、计划等）。2.能力：具备良好的沟通能力、学习能力和团队协作精神。3.技能：熟练使用办公软件（如Excel、Word、PPT等），具备基本数据分析能力。4.素质：责任心强，细心严谨，能够承受一定工作压力。5.经验：有相关实习经验者优先，优秀应届毕业生亦可。
广东雅顿空调空调设备制造有限公司,外贸专员/外贸销售,惠州,广东省,本科,经验不限,生产/制造/加工,岗位内容：1.负责国际市场对外联络业务，向国外客推广公司，开拓新客户，维护老客户，完成销售计划；2.处理客人的询盘及各种需求，为客户提供主动、热情、满意、周到的服务；3.负责外贸订单在企业内部计划、生产、包装、运输等过程的跟踪；4.按外贸要求传递相关的客户要求，制作和办理各种结汇所需单据；5.协助制定营销策略，提高市场占有率。任职要求：1.本科及以上学历，外贸相关专业优先；2.具备较好的沟通、谈判和商务技能；3.具备一年以上外贸业务员工作经验；4.英语口语熟练，能够独立应对日常商务邮件和电话沟通。
广东雅顿空调空调设备制造有限公司,销售员  应届生,惠州,广东省,本科,经验不限,生产/制造/加工,学历要求：本科（可放宽至大专）一.岗位职责1.根据企业产品及相关营销方案，销售企业相关产品；2.依据企业营销方案或双发资源，开发客户，并达成营销；3.维护企业现有及新开发的客户，进行二次成交或转介绍；4.负责销售合同的签订、履行与管理等相关工作；5.其他相关事宜；二.任职资格1.专科以上学历，暖通、制冷、营销等相关专业；2.一年及以上营销工作经验优选考虑；3.熟悉市场营销及销售运作模式；4.具有地区营销网络及营销关系；5.具有独立分析和解决问题的能力、良好的沟通技巧及说服能力；6.有中央空调相关营销工作经验优先考虑；
广东金润洋科技有限公司,品类运营,惠州,广东省,本科,经验不限,家具制造,学历要求：本科（可放宽至大专）岗位职责:1.负责品类运营活动的策划与执行2.分析市场趋势，优化产品线布局3.提升品类市场竞争力，提高品牌知名度任职要求:1.具备出色的数据分析能力，能够洞察市场动态2.拥有良好的团队协作能力，能与跨部门团队有效沟通3.对品类运营有深刻理解，能够独立制定并实施运营策略
广东雅顿空调空调设备制造有限公司,售前技术支持,惠州,广东省,本科,经验不限,生产/制造/加工,学历要求：本科（可放宽至大专）岗位职责1、为销售提供空调产品技术支持、项目选型、非标报价、审核相关技术资料；2、提供业务技术支持及客户疑问解答工作；3、收集客户需求，处理客户协调工作；进行售前技术分析支持工作；4、技术标书的制作，重点项目技术配合。任职资格1、制冷、暧通专业，大专以上学历；2、一年以上技术支持工作经验优先；3、熟练运用CAD软件，懂空气处理原理；4、有良好的沟通能力及团队合作精神，吃苦耐劳职位福利：包吃、包住、全勤奖、年终奖、定期团建、大牛带队、多次晋升机会
广东金润洋科技有限公司,厨电销售管理,惠州,广东省,本科,经验不限,家具制造,学历要求：本科（可放宽至大专）岗位职责:1.负责门店销售目标的设定与达成，确保销售业绩的稳步增长。2.制定销售策略，提升门店销售效率和顾客满意度。3.监督和管理门店销售团队，提升团队的整体销售能力。4.负责市场调研和竞争对手分析，及时调整销售策略。5.与供应商沟通，确保产品供应的及时性和准确性。任职要求:1.具备良好的沟通能力和团队管理能力。2.具有较强的市场分析和判断能力，能够准确把握市场动态。3.有责任心，能够承受工作压力。4.具有良好的组织能力和计划能力，能够有效管理销售目标。5.有销售经验者优先，能够快速适应销售环境。
广东金润洋科技有限公司,高级电商美工,惠州,广东省,本科,经验不限,家具制造,学历要求：本科（可放宽至大专）工作内容1、根据公司要求的品质形象，设计符合品牌推广需求的平面视觉表现;2、负责管理推广设计和物料供方资源，确保设计质量和供应链的顺畅;3、根据每次活动的主题诉求及内容，进行创意设计，提升品牌形象。任职要求1、具备踏实严谨的工作态度和强烈的责任心，能够积极与团队合作;2、能够准确理解上级的指示，并具备创造力，能够提供创新的设计方案;3、具备良好的职业素养和敬业态度，能够高效完成工作任务。4、熟悉CDRPRPS软件，有拍摄、剪辑经验，1年以内美工经验、有电商美工经验，会剪映，不接受居家办公
广东金润洋科技有限公司,国际贸易业务经理,惠州,广东省,本科,经验不限,家具制造,学历要求：本科（可放宽至大专）工作内容1、负责国际贸易业务的开展和管理2、维护和拓展海外市场客户关系3、执行出口业务流程，确保交易的顺利进行任职要求:1、具备国际贸易相关知识和实操经验2、优秀的商务谈判和客户服务能力3、能够独立处理和解决外贸业务中的问题
深圳百年厨具有限公司,工程业务,深圳,广东省,本科,经验不限,生产/制造/加工,岗位职责：1、管理维护客户关系以及客户间的长期战略合作计划；2、根据工程业务计划，完成对应工程回款；3、开拓新工程，跟进并发展新客户；4､跟踪投标工作的进行，协调并解决投标过程中所遇到的问题，做好公司内部与客户的沟通工作，确保按时投递；5､负责招投标信息的收集、筛选，详细掌握投标文件内容与相关要求；6、每月提交投标数据、报表及分析，时刻了解跟进投标市场更新情况。任职要求：1、性别不限，30-40岁；市场营销专业或相关专业，大专以上学历；2、3-5年以上销售工作或投标工作经验；3、有相关厨具设备行业知识或工程类投标经验者优先；4、有良好的市场判断力和开拓能力，做事灵活变通，积极向上；5、有良好的沟通表达及协调能力，责任心强，有良好的保密意识，能熟练使用办公软件。
广州理工学院,优秀青年博士,惠州,广东省,博士,经验不限,其他制造业,岗位职责：负责教学科研工作任职要求：1、具备博士学历学位。2、研究领域与我校建设硕士点学科（专业）和重点发展学科（专业）密切相关。3、近5年有丰硕的教学、科研成果。4、理工科专业优先。其他详细信息可以参考广州理工学院官网招聘信息
惠州市金山信息工程职业技术学校,护理老师,惠州,广东省,本科,经验不限,其他制造业,护理学相关专业大专及以上学历，一年以上临床经验。取得护士职业资格证书，热爱护理教育事业，有良好业道德。
惠州市金山信息工程职业技术学校,电子商务老师,惠州,广东省,本科,经验不限,其他制造业,本科，电子商务专业，有高中或者中职教师资格证。专业带头人待遇面议。
惠州市金山信息工程职业技术学校,美容美体老师,惠州,广东省,本科,经验不限,其他制造业,学历要求：本科（可放宽至大专）大专及以上，美容与形象设计专业，有相关资格证书
惠州市金山信息工程职业技术学校,心理健康老师,惠州,广东省,本科,经验不限,其他制造业,本科，应用心理学专业，有高中或者中职教师资格证。
惠州市金山信息工程职业技术学校,动漫老师,惠州,广东省,本科,经验不限,其他制造业,本科及以上学历，岗位相关专业毕业；有中职教师资格证、动漫相关资格证，有教学经验优先考虑。
惠州市金山信息工程职业技术学校,无人机专业老师,惠州,广东省,本科,经验不限,其他制造业,本科及以上学历，岗位相关专业毕业；有中职教师资格证、无人机相关资格证，有教学经验优先考虑。
